x,y
22.424180,26.046391
23.812704,27.033018
24.401492,38.838199
25.568116,34.706211
26.046861,33.762501
26.225687,34.719430
24.945131,35.849360
26.346076,37.697745
25.343983,36.858314
25.805319,38.045788
25.140989,38.832820
25.277460,39.844706
24.764824,46.009241
27.178067,21.825739
26.996987,23.971550
26.867303,24.793374
25.830436,30.047390
25.944673,30.899058
26.238322,31.556561
26.341413,31.667505
25.557155,34.330163
26.530448,36.374037
27.127367,37.008152
25.976836,37.017971
27.174047,36.195558
27.266940,37.045662
25.810243,36.967144
26.632203,39.050381
27.148885,38.742530
26.725236,38.953363
27.408702,40.193506
26.802322,39.576608
26.725979,40.652215
27.072595,40.919420
26.860064,42.705265
26.057924,43.045714
25.887951,44.111684
26.606609,45.104829
26.345819,46.136009
26.212677,45.700032
28.128539,19.867744
28.138803,23.452722
27.954978,26.099493
26.656440,25.069757
26.655129,26.998313
26.804646,27.733754
27.546595,30.029980
26.786286,31.995577
28.154316,31.947854
27.304691,36.229398
27.666913,35.187832
27.529800,36.575975
27.047819,36.769207
26.950861,36.866118
27.911976,38.062296
27.712606,38.288315
28.166907,37.790197
26.781174,36.956306
26.907073,37.514845
27.634798,38.962210
26.666031,38.587942
26.745188,38.215683
28.431006,39.529790
26.838551,39.874797
27.640703,39.915738
26.658864,41.017376
26.762267,41.075025
27.352524,42.059281
28.045566,42.770940
27.121845,42.119340
28.172869,44.192713
27.660330,44.828245
27.884204,44.766586
27.830901,46.124016
27.056293,45.493294
28.665855,17.923410
27.949186,19.763999
27.925852,26.573975
27.773238,33.932101
28.643638,34.473449
29.012774,33.740571
28.689227,34.083530
28.208551,33.703669
28.974548,35.223993
27.760991,34.981712
28.114729,35.047556
28.741188,35.318561
28.882340,36.380575
29.052254,36.426350
29.363609,37.919352
27.783074,37.284596
29.315679,37.359577
29.011339,38.041391
28.281294,38.460671
28.834561,37.755193
28.952529,37.721490
28.164326,38.623000
27.670618,37.952658
29.016566,39.799087
27.852105,40.945175
28.933023,41.308276
27.628596,40.658513
28.791052,40.969576
29.193674,40.330527
29.221213,40.810558
28.812232,42.032572
27.927671,41.534616
29.248476,40.843298
28.162087,41.961938
28.962468,41.251725
28.632464,43.416857
28.595856,44.349376
28.248430,44.233154
29.450247,43.234987
28.115458,43.357477
28.545220,45.224047
28.097845,45.091508
28.222687,47.192178
28.928430,45.678400
30.074422,17.892884
29.208909,19.006066
29.852997,20.713768
29.240823,24.024451
29.276509,25.631189
29.600893,25.130001
29.389344,26.401699
29.922917,27.710104
29.135155,28.135341
29.209888,30.968406
28.840469,30.815473
28.545616,32.246843
29.208319,33.723854
29.533528,34.514854
30.177228,34.123781
29.663644,34.550740
28.939371,35.424880
28.773691,34.988710
29.652595,35.226934
29.201135,37.446297
28.548264,37.680610
30.332059,37.922914
29.815836,38.227111
28.635206,37.485997
29.491845,36.805515
29.945791,37.464579
30.322966,38.785565
28.828661,37.840182
30.220604,38.121916
29.736125,38.472669
29.902681,39.370105
28.592651,39.569835
29.703165,41.179423
29.771387,41.087053
29.053837,41.086009
29.948000,41.065190
29.547265,41.387360
29.079283,41.889757
30.244193,42.876425
28.831037,43.097875
29.982771,42.950604
30.320145,43.025253
28.506383,44.422574
30.179186,45.912692
29.989348,46.571641
30.592012,15.688752
31.163867,19.515582
30.855670,22.202764
31.005505,25.020706
29.575515,25.381097
30.626816,27.279019
30.708928,26.778063
30.832405,27.231602
30.025121,28.222820
30.312956,27.652065
29.784133,29.188376
31.151278,30.948712
31.262032,31.349480
30.088163,33.256780
30.933784,32.636910
29.607799,33.875332
31.163612,35.078575
30.975445,33.642250
30.628410,33.666511
30.519157,33.841174
31.052404,35.049729
30.171594,35.727084
30.201937,35.327291
31.202080,35.984088
30.973544,38.166308
30.818043,39.287989
31.228721,38.378998
30.790043,39.037806
31.219429,39.081909
30.610112,39.566957
29.713231,38.903998
30.362130,39.556005
30.129526,39.630301
30.149258,39.750912
30.567271,40.196622
29.843609,40.108921
31.182726,39.753093
30.937691,41.130374
30.980916,40.087685
30.942965,41.211181
29.874705,40.818064
31.084304,39.956317
31.111939,40.617382
30.664061,41.140690
31.036614,41.718916
30.292125,42.430951
31.325809,41.513223
29.852054,43.400426
29.550734,44.606766
29.761126,44.632805
30.369129,45.374211
31.343980,44.237269
30.760406,44.888420
30.481996,44.727911
31.645870,17.204392
31.938213,18.983623
31.128598,19.826923
30.925051,21.789720
31.082566,23.852896
31.824531,22.922974
32.106198,25.131285
31.326665,24.992549
31.667893,24.652618
31.195881,26.604793
30.751946,27.017457
31.550100,27.339047
31.298320,28.563585
32.362389,28.403698
30.727310,30.163530
31.203376,30.939447
31.769243,32.420405
31.951372,31.581780
31.409918,32.302822
31.153998,30.653675
31.347343,32.842193
31.242696,32.963890
31.054137,35.019215
31.955287,34.051925
31.097306,33.592194
31.844460,34.486641
30.891484,34.393893
31.795667,34.232461
32.389298,35.088989
30.941428,35.762079
31.183361,35.942019
31.566796,35.124870
32.055380,35.803264
31.023054,37.284375
31.418258,37.352983
32.123959,36.945519
32.066150,36.805376
32.108121,37.267784
31.317034,36.200235
30.793367,37.411143
31.671897,38.422407
31.650727,37.837335
31.004214,37.843352
32.160162,38.648593
31.385310,38.895589
31.353781,37.651447
31.293723,39.724428
30.693461,39.902661
32.395801,39.244906
31.557769,40.893378
31.726837,39.531053
31.268178,39.979201
31.936108,42.694848
31.384294,42.043190
30.657386,43.512096
31.176115,44.237778
31.542774,43.628113
31.992614,43.970199
31.692877,46.223499
32.368135,45.907067
30.924368,48.008816
31.163585,48.352968
31.028921,51.912243
30.821194,56.109946
31.216936,57.807108
31.094289,58.009856
31.791595,59.081752
32.160501,59.119559
33.000812,16.734889
32.844891,16.625399
33.327336,20.961387
32.185117,19.605871
32.544948,23.320586
31.932383,22.726040
31.786630,23.756269
32.043142,23.177759
32.142596,25.233474
31.689951,26.330199
32.727016,25.658012
32.754852,28.406896
33.322283,27.054668
33.005494,28.481761
31.801813,28.031260
33.271090,30.094109
32.431292,28.736881
31.756738,29.731913
32.099771,29.838605
32.797961,30.555669
33.241597,32.066589
32.344962,31.289274
32.856109,31.135062
32.695232,33.302336
31.763211,32.175290
33.007988,33.255090
32.706289,33.256739
32.033314,33.079552
33.089337,33.344171
32.930360,33.470472
33.048202,33.359302
32.741739,33.559808
32.836656,32.651352
31.841924,32.762641
31.859599,34.845173
33.029385,34.331710
33.001482,34.624109
32.333552,33.836802
31.600671,34.664623
32.329157,33.709685
32.358925,33.917915
32.961303,34.807561
32.895593,36.027501
33.124177,35.339323
33.291207,36.013091
33.238651,34.891768
32.374052,36.911175
32.771365,36.336824
32.527265,36.337012
31.781693,36.471015
32.210328,37.076257
32.702132,35.709045
32.277121,36.963497
31.751721,36.244350
33.008880,37.185186
33.081367,37.282739
32.828487,35.747290
32.736391,37.100370
33.432042,37.314116
31.715773,38.104230
32.214115,38.237976
32.032154,38.073654
33.224386,39.124045
32.396837,37.968342
